config_id,bar,feature_set,n_features,fit_scope,method,n_components,task,probe,metric,value,fit_seconds,n_eval,timestamp
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,lab_stress,logistic,auc,0.4601,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,lab_stress,knn,auc,0.7375,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,lab_depth_collapse,logistic,auc,0.5313,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,lab_depth_collapse,knn,auc,0.5368,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,lab_spread_widen,logistic,auc,0.6874,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,lab_spread_widen,knn,auc,0.6899,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,lab_vol_spike,logistic,auc,0.7142,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,lab_vol_spike,knn,auc,0.7514,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,reg_fwdvol,ridge,r2,-1.8762,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,reg_fwdvol,knn,r2,0.351,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,reg_curvol,ridge,r2,-1.9433,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,reg_curvol,knn,r2,0.3953,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,reg_relspread,ridge,r2,-1.0757,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,reg_relspread,knn,r2,0.579,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,reg_intraday,ridge,r2,-1.2291,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc2|Diffusion_a0.5,5s,full,19,sym:NVDA,Diffusion_a0.5,2,reg_intraday,knn,r2,0.194,1.6,6400,2026-06-03 14:08:14
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,lab_stress,logistic,auc,0.9845,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,lab_stress,knn,auc,0.991,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,lab_depth_collapse,logistic,auc,0.5624,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,lab_depth_collapse,knn,auc,0.5671,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,lab_spread_widen,logistic,auc,0.8135,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,lab_spread_widen,knn,auc,0.8144,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,lab_vol_spike,logistic,auc,0.953,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,lab_vol_spike,knn,auc,0.9492,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,reg_fwdvol,ridge,r2,0.7445,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,reg_fwdvol,knn,r2,0.7817,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,reg_curvol,ridge,r2,0.736,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,reg_curvol,knn,r2,0.7712,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,reg_relspread,ridge,r2,0.5344,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,reg_relspread,knn,r2,0.7148,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,reg_intraday,ridge,r2,0.099,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|PCA,5s,full,19,sym:NVDA,PCA,3,reg_intraday,knn,r2,0.1608,0.0,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,lab_stress,logistic,auc,0.7388,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,lab_stress,knn,auc,0.9868,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,lab_depth_collapse,logistic,auc,0.5552,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,lab_depth_collapse,knn,auc,0.6174,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,lab_spread_widen,logistic,auc,0.6162,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,lab_spread_widen,knn,auc,0.7348,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,lab_vol_spike,logistic,auc,0.8001,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,lab_vol_spike,knn,auc,0.9368,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,reg_fwdvol,ridge,r2,0.2686,0.17,6400,2026-06-03 14:08:15
